textDisplay|classification_textblob
['mens', 'creer', 'jueguito', '8', 'bit', 'musico', 'generico', 'piano', 'ayuda', 'superar', 'mental', 'dinero', 'psicologo', 'gastar', 'juego', 'cfffff']|1
['video', 'god']|1
['recordar', 'quotsiempre', 'poder', 'lograrloquot']|1
['creer', 'varios', 'persona', 'jugado', 'videojuego', 'relacionado', 'ansiedad', 'panico', 'caso', 'mucho', 'vez', 'despejo', 'jugar', 'hermoso', 'saber', 'ahora', 'tanto', 'visibilidad', 'tema', 'excelente', 'video']|1
['gracias', 'ir', 'jugar']|1
['análisis', 'tanto', 'extraordinario', 'maravilloso', 'juego', 'creado', 'transmitir', 'mensaje', 'felicito', 'tanto', 'buen', 'narración', 'excelente', 'técnica', 'comunicativo', 'ganado', 'subscriptor', 'saludo']|1
['recomeir', 'of', 'solitude', 'juegazo']|1
['agradecer', 'demasiado', 'esfuerzo', 'realización', 'video', 'creo', 'valioso', 'genial', 'habl', 'tema', 'tanto', 'persona', 'luchado', 'además', 'compartir', 'herramienta', 'consejo', 'cómo', 'abordarlo', 'sacaste', 'lágrimo', 'lágrima', 'reconfortar', 'volver', 'fuerte', 'espíritu', 'cuídatar', 'gracia', 'nuevo', 'lt3']|1
['felicitación', 'adriar', 'mejor', 'vídeo', 'canal', 'gracias']|1
['padre', 'abuelo', 'nunca', 'entender', 'experiencia', 'emitir', 'videojuego', 'mal', 'satanicir', 'vean', 'perdido', 'tiempo', 'pesar', 'actual', 'mente', 'cerca', 'edad', 'padr', 'aquel', 'tiempo', 'niño', 'todavía', 'hoy', 'día', 'seguir', 'gustar', 'videojuego', 'recordar', 'jugar']|1
['ansiedad', 'ensereír', 'sentir', 'identificado', 'video', 'videojuego', 'fin', 'sentir', 'comprendido', 'respecto', 'tema']|1
['canción', 'reverso', 'sentir', 'desrealizacion', 'despersonalización']|1
